,Airline,Airline_Code
0,Aegean Airlines,a3-aee
1,Aer Lingus,ei-ein
2,Aeroflot,su-afl
3,Air Albania,zb-abn
4,Air Astana,kc-kzr
5,Air Austral,uu-reu
6,Air Corsica,xk-ccm
7,Air Dolomiti,en-dla
8,Air Europa,ux-aea
9,Air France,af-afr
10,Air Malta,km-amc
11,Air Moldova,9u-mld
12,Albawings,2b-awt
13,Atlantic Airways,rc-fli
14,Aurora,hz-shu
15,Austrian Airlines,os-aua
16,Azerbaijan Airlines,j2-ahy
17,Azores Airlines,s4-rzo
18,Belavia,b2-bru
19,Binter Canarias,nt-ibb
20,Blue Air,0b-bla
21,British Airways,ba-baw
22,Brussels Airlines,sn-bel
23,Bulgaria Air,fb-lzb
24,Condor,de-cfg
25,Corendon Airlines,xc-cai
26,Croatia Airlines,ou-ctn
27,Cyprus Airways,cy-cyp
28,Czech Airlines,ok-csa
29,Eastern Airways,t3-eze
30,easyJet,u2-ezy
31,Edelweiss Air,wk-edw
32,Enter Air,e4-ent
33,Eurowings,ew-ewg
34,Finnair,ay-fin
35,Flybe,be-bee
36,FlyOne,5f-fia
37,Georgian Airways,a9-tgz
38,Iberia,ib-ibe
39,Iberia Express,i2-ibs
40,Icelandair,fi-ice
41,ITA Airways,az-ity
42,Jet2,ls-exs
43,KLM,kl-klm
44,Loganair,lm-log
45,Lufthansa,lh-dlh
46,Luxair,lg-lgl
47,Motor Sich Airlines,m9-msi
48,Nordwind Airlines,n4-nws
49,Olympic Air,oa-oal
50,Pegasus Airlines,pc-pgt
51,Pobeda,dp-pbd
52,Ryanair,fr-ryr
53,S7 Airlines,s7-sbi
54,Sky Express,gq-seh
55,SkyUp Airlines,pq-sqp
56,Smartavia,5n-aul
57,Smartwings,qs-tvs
58,SunExpress,xq-sxs
59,Swiss,lx-swr
60,TAP Air Portugal,tp-tap
61,Tarom,ro-rot
62,Transavia,hv-tra
63,TUI Airways,by-tom
64,Turkish Airlines,tk-thy
65,Twin Jet,t7-tjt
67,Ural Airlines,u6-svr
68,Virgin Atlantic,vs-vir
69,Volotea,v7-voe
70,Vueling,vy-vlg
71,Wizz Air,w6-wzz
72,Yamal Airlines,yc-llm
